FORM DATA
Parameter,Value
Focal Length,19.35
Altitude,41.1
Altitude Offset,None
Image Width,8064
Image Height,6048
Field of View,28.8415706164545
Sensor Width,None
Width Segments,3
Crosshair Size,50
Crosshair Opacity,100
Segment Color,#FFFFC5
Pixel Dimension,0.0026211757797421596

RULER MEASUREMENTS
Parameter,Value
Type,ruler
Curve Length,12.64 m
Segments,3

WIDTH SEGMENTS
Segment,Length (m),X1,Y1,X2,Y2
1,2.1968,2931.899805914295,3025.8955285749917,3010.4892678719125,2191.4770952399003
2,2.5575,4120.6659809432485,3251.5127423966496,4212.159437242752,2280.086999502322
3,1.1512,5347.23574970415,3075.752791004229,5388.419038245817,2638.4919388678786

AREA MEASUREMENTS
Parameter,Value
Area,0.10 m²
Number of Points,8

AREA POINTS
Point,X,Y
1,2799.4418444988896,2505.5021809471873
2,2683.216935991347,2505.5021809471873
3,2676.7599966298167,2576.5074524951274
4,2696.1308147144073,2628.1476499845385
5,2760.7002083297084,2634.602674670715
6,2780.071026414299,2641.057699356891
7,2805.8987838604194,2582.9624771813037
8,2799.4418444988896,2537.7773043780694

MANUAL CURVE MEASUREMENTS
Parameter,Value
Curve Length,19.83 m
Number of Points,6

CURVE POINTS
Point,X,Y
1,3354.7386295904817,3157.459674251
2,3664.671718943928,3544.7611554215814
3,3897.1215359590133,3751.321945379225
4,4187.68380722787,3919.1525872198104
5,4336.1934125430635,4035.3430315709847
6,4504.073835942847,3964.3377600230447

ANGLE MEASUREMENTS
Parameter,Value
Angle,84.16°
Number of Points,3

ANGLE POINTS
Point,X,Y
1,3406.394144482723,2298.941390989544
2,3374.109447675072,2763.703168394242
3,3968.147868935845,2744.338094335713

BODY CONDITION RESULTS
Parameter,Value
BVcir_5.0perc,0.00
BAIpar_5.0perc,61.80
SA_5.0perc,0.00
